‹@Ží–¼,F,’n•û,”N,ŒŽ,SUM_of_”—Ê
0805B,DW,ŠÖ“Œ,2009,4,1
0805B,DW,ŠÖ“Œ,2009,5,2
0805B,DW,ŠÖ“Œ,2009,6,2
0805B,DW,‹ß‹E,2009,5,2
0805B,DW,‹ß‹E,2009,6,1
0805B,DW,Žl‘,2009,5,1
0805B,DW,Žl‘,2009,6,2
0805B,DW,’†‘,2009,6,2
0805B,DW,’†•”,2009,5,1
0805B,DW,’†•”,2010,12,1
0805B,SS,ŠÖ“Œ,2009,4,16
0805B,SS,ŠÖ“Œ,2009,5,6
0805B,SS,ŠÖ“Œ,2009,6,3
0805B,SS,ŠÖ“Œ,2009,7,6
0805B,SS,ŠÖ“Œ,2009,8,8
0805B,SS,ŠÖ“Œ,2009,9,8
0805B,SS,ŠÖ“Œ,2009,10,10
0805B,SS,ŠÖ“Œ,2009,11,3
0805B,SS,ŠÖ“Œ,2009,12,6
0805B,SS,ŠÖ“Œ,2010,1,1
0805B,SS,ŠÖ“Œ,2010,2,4
0805B,SS,ŠÖ“Œ,2010,3,3
0805B,SS,ŠÖ“Œ,2010,4,10
0805B,SS,ŠÖ“Œ,2010,5,5
0805B,SS,ŠÖ“Œ,2010,6,14
0805B,SS,ŠÖ“Œ,2010,7,8
0805B,SS,ŠÖ“Œ,2010,8,7
0805B,SS,ŠÖ“Œ,2010,9,2
0805B,SS,ŠÖ“Œ,2010,10,6
0805B,SS,ŠÖ“Œ,2010,11,11
0805B,SS,ŠÖ“Œ,2010,12,6
0805B,SS,ŠÖ“Œ,2011,1,6
0805B,SS,ŠÖ“Œ,2011,2,8
0805B,SS,ŠÖ“Œ,2011,3,3
0805B,SS,ŠÖ“Œ,2011,4,8
0805B,SS,ŠÖ“Œ,2011,5,3
0805B,SS,ŠÖ“Œ,2011,6,10
0805B,SS,ŠÖ“Œ,2011,7,7
0805B,SS,ŠÖ“Œ,2011,8,5
0805B,SS,ŠÖ“Œ,2011,9,11
0805B,SS,ŠÖ“Œ,2011,10,8
0805B,SS,ŠÖ“Œ,2011,11,10
0805B,SS,ŠÖ“Œ,2011,12,48
0805B,SS,ŠÖ“Œ,2012,1,2
0805B,SS,ŠÖ“Œ,2012,2,8
0805B,SS,ŠÖ“Œ,2012,3,14
0805B,SS,ŠÖ“Œ,2012,4,4
0805B,SS,ŠÖ“Œ,2012,5,12
0805B,SS,ŠÖ“Œ,2012,6,11
0805B,SS,ŠÖ“Œ,2012,7,10
0805B,SS,ŠÖ“Œ,2012,8,7
0805B,SS,ŠÖ“Œ,2012,9,10
0805B,SS,ŠÖ“Œ,2012,10,10
0805B,SS,ŠÖ“Œ,2012,11,8
0805B,SS,ŠÖ“Œ,2012,12,9
0805B,SS,ŠÖ“Œ,2013,1,6
0805B,SS,ŠÖ“Œ,2013,2,5
0805B,SS,ŠÖ“Œ,2013,3,9
0805B,SS,ŠÖ“Œ,2013,4,12
0805B,SS,ŠÖ“Œ,2013,5,29
0805B,SS,ŠÖ“Œ,2013,6,9
0805B,SS,ŠÖ“Œ,2013,7,10
0805B,SS,ŠÖ“Œ,2013,8,8
0805B,SS,ŠÖ“Œ,2013,9,13
0805B,SS,ŠÖ“Œ,2013,10,6
0805B,SS,ŠÖ“Œ,2013,11,16
0805B,SS,ŠÖ“Œ,2013,12,5
0805B,SS,ŠÖ“Œ,2014,1,12
0805B,SS,ŠÖ“Œ,2014,2,4
0805B,SS,ŠÖ“Œ,2014,3,11
0805B,SS,ŠÖ“Œ,2014,4,16
0805B,SS,ŠÖ“Œ,2014,5,7
0805B,SS,ŠÖ“Œ,2014,6,10
0805B,SS,ŠÖ“Œ,2014,7,6
0805B,SS,ŠÖ“Œ,2014,8,13
0805B,SS,ŠÖ“Œ,2014,9,5
0805B,SS,ŠÖ“Œ,2014,10,10
